"Row","FIPS","GENC","Country/Area Name","Year","Population","Annual Growth Rate %","Area (sq km)","Density (per sq km)","Total Fertility Rate","Life Expectancy at Birth","Under-5 Mortality Rate"
"1","DA","DK","Denmark","2020","5868927","0.435","42434","138.3","1.777","81.24","3.69"
"2","FI","FI","Finland","2020","5572355","0.279","303815","18.3","1.7427","81.33","2.63"
"3","IC","IS","Iceland","2020","350773","0.999","100250","3.5","1.97","83.26","2.62"
"4","NO","NO","Norway","2020","5465387","0.807","304282","18","1.841","82.14","2.92"
"5","SW","SE","Sweden","2020","10185555","0.749","410335","24.8","1.8633","82.4","2.98"
